Log_name,Tmean,Tmax,Tmean_night,Tmin_night,Tmean_day,UHI,UHI_day,UHI_night,Tropical_nights,Gfroerli_nights,Summer_days,Hot_days,VHot_days,total_valid_days,Log_NR,NORD_CHTOPO,OST_CHTOPO
Ostermundigen BareTower,21.091372773093344,27.222012664988174,17.3717859766653,15.932802319371328,22.724546017364485,21.688917521821967,23.344939011907265,17.907328200393653,16,6,95,37,8,124,151,46.95563,7.48114
Ostermundigen Moosweg,21.023609573971754,27.968422980086977,16.629902116238753,15.234906538490883,22.947159755844705,21.607462204682957,23.555125680775028,17.11035078660321,9,7,96,44,9,124,152,46.95813,7.48807
Ostermundigen Wegmuhlegassli,20.51552717742624,27.135814450293736,16.36212107731008,14.954970626382849,22.3399662649934,21.07989185983937,22.929990085324825,16.827699561452707,5,9,95,38,9,124,153,46.95806,7.49371
Ostermundigen Oberfeld,20.023595706801217,26.16693369954986,15.967730604650388,14.547649347676813,21.803790758524837,20.575419354206492,22.38212602010055,16.419577293154237,3,11,87,28,6,124,154,46.9581,7.49792
Ostermundigen Milchstrasse,20.391788334742273,26.834020604601825,16.196968666303494,14.644187075608453,22.196118157529448,20.932551157887982,22.784298799344224,16.65262046910096,3,8,91,35,8,124,155,46.96241,7.48201
Ostermundigen Tiefenmosli,20.354103767743226,27.388491645685512,16.08186598474558,14.53732051575494,22.22590913121158,20.906751726733038,22.81057729032931,16.525208820718134,2,9,94,38,9,124,156,46.94801,7.48411
Ostermundigen Schermenweg,20.373524692945132,26.048200198367287,16.582926138286286,15.186434729533836,22.039309646036724,20.933064373736944,22.62101666771139,17.05685400787708,8,7,86,27,4,123,161,46.95821,7.48052
Ostermundigen Poststrasse,20.519883865101555,27.356873309036274,16.381086738794746,15.05445234581153,22.347708463714923,21.137676799619864,22.99862782303116,16.882557153869797,6,7,83,44,9,111,162,46.95867,7.48222
Timeshift,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,125,NA,NA,NA
Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
Umland Bumpliz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,46.93354,7.36641
Gleisfeld Welle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,46.94838,7.43359
