Log_name,Tmean,Tmax,Tmean_night,Tmin_night,Tmean_day,UHI,UHI_day,UHI_night,Tropical_nights,Gfroerli_nights,Summer_days,Hot_days,VHot_days,total_valid_days,valid_days_percent,Log_NR,STANDORT_NEU,NORD_CHTOPO,OST_CHTOPO
Log_117,18.004286957327263,25.55765976770752,14.946774799811784,13.293790518712681,19.8505150616775,-2.070693370299323,-1.8337590462635418,-1.5030381303037987,0,6,44,6,1,0,0,117,Koniztal,46.90961,7.44248
Log_124,21.48334076053517,27.665887958973133,18.707417088374942,16.17022751529799,22.77520797651626,1.0503950935876152,0.7586690261254995,1.8082902289057596,8,0,73,25,7,91,1,124,Barenplatz,46.94814,7.44366
Log_126,21.36998984255723,27.460591917362446,18.745429717336258,16.33785525423089,22.58320102537297,0.9370441756096752,0.5666620749822063,1.8463028578670715,10,0,72,25,7,91,1,126,Optingenstrasse,46.95597,7.45045
Log_127,21.724752805747592,27.883635860028328,18.75995662636115,16.465514200324705,23.07044503749577,1.2918071388000374,1.0539060871050085,1.8608297668919647,10,0,71,27,7,91,1,127,Breitenrainplatz,46.95838,7.45415
Log_128,21.465341231471886,28.558299867523946,18.00199613753041,15.869833607302136,22.983080674738563,0.869277327011342,0.8858816769046728,0.683672409306073,3,2,58,30,9,76,0.8351648351648352,128,Schosshaldenfriedhof,46.95342,7.47165
Log_129,22.32746189330938,29.125338766871998,19.4272820435446,16.92073348313427,23.67260601046606,1.894516226361824,1.6560670600752978,2.5281551840754166,16,0,76,37,13,91,1,129,Laupenstrasse,46.94734,7.43639
Log_141,20.744563198112786,27.39270170934217,17.257824279651942,14.956634844222615,22.29178071120183,0.31161753116523067,0.27524176081107066,0.35869742018275647,1,4,71,26,6,91,1,141,Viererfeld 2 (Schacht),46.96271,7.43688
Log_142,20.411511978920128,27.251609660951168,16.98872989503374,14.73539953615855,21.93080569497825,-0.021433688027427452,-0.08573325541251124,0.08960303556455565,1,3,69,23,7,91,1,142,Viererfeld 3 (Strasse Sud),46.96286,7.44009
Log_143,20.598704625305736,27.265861089825883,17.627638436102412,15.29602502479591,21.949863583629845,0.16575895835817853,-0.06667536676091496,0.7285115766332267,2,2,68,27,7,91,1,143,Viererfeld 4 (Strasse Nord),46.96523,7.44165
Log_144,20.601523003276064,27.14708950743214,17.235921165482562,15.0108741040452,22.099101544168825,0.16857733632850813,0.08256259377806366,0.33679430601337745,2,3,70,21,6,91,1,144,Viererfeld 5 (Mittelfeld),46.96178,7.43481
Log_151,21.899876002479697,28.180535790699295,18.974189273872877,16.759853349314287,23.233644098976676,1.4669303355321406,1.2171051485859132,2.075062414403692,17,0,74,30,8,91,1,151,Ostermundigen BareTower,46.95563,7.48114
Log_152,21.8294768932269,28.887766576771124,18.25054128481347,16.072200605274535,23.432791503980525,1.3965312262793437,1.4162525535897625,1.3514144253442844,10,0,75,34,9,91,1,152,Ostermundigen Moosweg,46.95813,7.48807
Log_153,21.311931648245675,28.106172937792948,18.00930074650162,15.808441028392446,22.80757503613668,0.8789859812981194,0.7910360857459185,1.1101738870324347,7,1,74,32,9,91,1,153,Ostermundigen Wegmuhlegassli,46.95806,7.49371
Log_154,20.768669982566706,27.10378373985358,17.421987376704358,15.312592548839126,22.260836203631076,0.3357243156191493,0.24429725324031326,0.5228605172351728,3,3,71,24,6,91,1,154,Ostermundigen Oberfeld,46.9581,7.49792
Log_155,21.13839443388831,27.643451391722312,17.71876228391278,15.42176018560221,22.68305629892661,0.7054487669407532,0.666517348535848,0.8196354244435966,4,1,71,27,8,91,1,155,Ostermundigen Milchstrasse,46.96241,7.48201
Log_156,21.14198375838047,28.3237466869678,17.653737315156373,15.349991509092654,22.700472653730955,0.7090380914329123,0.6839337033401924,0.7546104556871907,2,2,74,30,9,91,1,156,Ostermundigen Tiefenmosli,46.94801,7.48411
Log_161,21.183038637884557,27.0100610029158,18.181389709490837,15.995880884465413,22.528435396024946,0.7500929709370002,0.5118964456341847,1.265906324428738,8,0,71,24,4,90,0.989010989010989,161,Ostermundigen Schermenweg,46.95821,7.48052
Log_162,21.641336510430673,28.790791873877247,18.279336324689563,16.217878024927693,23.135834669932557,1.0452726059701303,1.0386356720986656,0.9610125964652293,7,0,59,35,9,76,0.8351648351648352,162,Ostermundigen Poststrasse,46.95867,7.48222
Log_99,20.432945666947557,26.745698448555533,16.899126859469185,14.60208408705518,22.01653895039076,0,0,0,1,4,65,19,5,91,1,99,Zollikofen 3m,46.99079,7.46407
