Log_name,Tmean,Tmax,Tmean_night,Tmin_night,Tmean_day,UHI,UHI_day,UHI_night,Tropical_nights,Gfroerli_nights,Summer_days,Hot_days,VHot_days
Optingenstrasse,20.535111757466666,26.50074616617075,16.999193746329606,15.510270847638667,22.28398182536756,21.16922150071605,22.97498047408555,17.51075684404989,10,6,92,30,7
Breitenrainplatz,20.88180750357407,26.892130922407873,17.08926367005067,15.64863660639353,22.76001951195125,21.53158106344856,23.470947618251667,17.60329757034497,10,6,91,35,7
Schosshaldenfriedhof,21.303968506440466,28.50391648228682,16.96801012575507,15.559965948287978,23.441091939459223,21.303968506440466,23.441091939459223,16.96801012575507,3,3,73,40,9
Laupenstrasse,21.580975380167363,28.23511406118868,17.702286761990806,16.139934386205844,23.51644828877272,22.233042295425278,24.23205781330453,18.216709539401645,14,4,98,48,13
Viererfeld 2 (Schacht),19.952227815174606,26.420337224383918,15.81243430776986,14.246436255436027,22.009310722105067,20.578049001161467,22.701153305119046,16.285108650331207,1,12,89,33,6
Viererfeld 3 (Strasse Sud),19.79000058082176,26.511666638753823,15.651462334895644,14.094377050431067,21.843950001723215,20.244482623135042,22.34941463628111,15.995110235703262,0,11,89,28,7
Viererfeld 4 (Strasse Nord),19.956724608518634,26.474716234916986,16.12401936087179,14.632849944887639,21.85844866616862,20.428381523653886,22.378359620006538,16.489989855772517,2,8,86,35,7
Viererfeld 5 (Mittelfeld),19.80741681569738,26.17195391775387,15.784318177143975,14.300120546272984,21.81322634995833,20.427401651112262,22.493337754104374,16.25312795277041,2,11,84,26,6
Ostermundigen BareTower,21.040795180537494,27.141945525291828,17.3717859766653,15.932802319371328,22.858682768757742,21.71003611527507,23.585351294235746,17.907328200393653,16,6,95,37,8
Ostermundigen Moosweg,20.98264264353108,27.905980010681315,16.629902116238753,15.234906538490883,23.134993214606094,21.628905999269183,23.85261045516323,17.11035078660321,9,7,96,44,9
Ostermundigen Wegmuhlegassli,20.473904661426847,27.066385900663768,16.36212107731008,14.954970626382849,22.5045124935184,21.099956031740557,23.205414792192474,16.827699561452707,5,9,95,38,9
Ostermundigen Oberfeld,19.981707962869667,26.095454337376975,15.967730604650388,14.547649347676813,21.972945509992364,20.594472448019097,22.658714378753054,16.419577293154237,3,11,87,28,6
Ostermundigen Milchstrasse,20.331679523629063,26.68954909590295,16.196968666303494,14.644187075608453,22.375848264623738,20.952327774628763,23.070415836856576,16.65262046910096,3,8,91,35,8
Ostermundigen Tiefenmosli,20.310365689155784,27.319319447623407,16.08186598474558,14.53732051575494,22.404472600815986,20.926293343812073,23.10074938198234,16.525208820718134,2,9,94,38,9
Ostermundigen Schermenweg,20.33326512587283,25.97687037460899,16.582926138286286,15.186434729533836,22.18050386995782,20.95488155634566,22.86648625328668,17.05685400787708,8,7,86,27,4
Ostermundigen Poststrasse,20.487175339269193,27.28338220785005,16.381086738794746,15.05445234581153,22.514446600296683,21.171780885925156,23.28362822390382,16.882557153869797,6,7,83,44,9
Timeshift,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
