 

stn;time;tre200s0;ure200s0
BER;202305060440;12.3;96.2
BER;202305060450;12.0;96.5
BER;202305060500;12.2;95.9
BER;202305060510;12.4;96.2
BER;202305060520;12.4;95.6
BER;202305060530;12.5;96.2
BER;202305060540;12.5;95.3
BER;202305060550;12.6;94.5
BER;202305060600;12.8;95.9
BER;202305060610;12.8;95.9
BER;202305060620;12.7;95.5
BER;202305060630;13.4;94.1
BER;202305060640;13.3;96.1
BER;202305060650;13.6;93.9
BER;202305060700;13.7;93.4
BER;202305060710;14.0;91.3
BER;202305060720;14.3;92.0
BER;202305060730;14.8;90.8
BER;202305060740;14.4;91.8
BER;202305060750;14.6;91.1
BER;202305060800;15.0;87.8
BER;202305060810;14.8;89.7
BER;202305060820;14.9;88.8
BER;202305060830;15.2;92.4
BER;202305060840;15.2;86.7
BER;202305060850;16.1;85.6
BER;202305060900;16.4;87.2
BER;202305060910;16.8;85.4
BER;202305060920;17.5;85.1
BER;202305060930;17.3;81.9
BER;202305060940;18.0;80.9
BER;202305060950;17.6;78.2
BER;202305061000;18.1;72.1
BER;202305061010;18.9;74.2
BER;202305061020;19.1;74.1
BER;202305061030;18.8;73.1
BER;202305061040;19.1;71.4
BER;202305061050;19.1;68.8
BER;202305061100;19.8;68.7
BER;202305061110;19.5;64.0
BER;202305061120;19.9;65.7
BER;202305061130;20.1;61.9
BER;202305061140;19.7;60.1
BER;202305061150;20.2;59.6
BER;202305061200;20.6;60.6
BER;202305061210;20.4;65.4
BER;202305061220;20.6;65.2
BER;202305061230;20.9;57.4
BER;202305061240;21.0;54.5
BER;202305061250;20.8;53.2
BER;202305061300;21.0;54.2
BER;202305061310;21.4;57.9
BER;202305061320;21.3;58.1
BER;202305061330;21.6;60.3
BER;202305061340;21.6;55.8
BER;202305061350;21.6;55.0
BER;202305061400;21.4;55.5
BER;202305061410;21.7;51.5
BER;202305061420;21.9;57.0
BER;202305061430;21.7;50.9
BER;202305061440;21.9;52.1
BER;202305061450;21.4;50.8
BER;202305061500;21.7;54.9
BER;202305061510;21.4;53.4
BER;202305061520;20.9;62.1
BER;202305061530;21.1;56.3
BER;202305061540;20.9;58.6
BER;202305061550;21.3;55.8
BER;202305061600;21.1;55.7
BER;202305061610;20.5;58.4
BER;202305061620;20.4;58.4
BER;202305061630;20.8;60.1
BER;202305061640;20.6;61.4
BER;202305061650;20.4;60.0
BER;202305061700;20.0;62.2
BER;202305061710;20.0;58.4
BER;202305061720;19.3;65.8
BER;202305061730;19.7;62.0
BER;202305061740;19.8;60.8
BER;202305061750;19.6;62.3
BER;202305061800;18.5;69.1
BER;202305061810;18.0;68.7
BER;202305061820;17.6;70.4
BER;202305061830;17.2;74.9
BER;202305061840;17.2;72.5
BER;202305061850;16.5;75.7
BER;202305061900;16.6;71.9
